"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-07","Canada","2016A000011124","Persons","249","units","0","v1","1","37589262","","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","521542","","","","0"
"2019-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","156947","","","","0"
"2019-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","971395","","","","0"
"2019-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","776827","","","","0"
"2019-07","Quebec","2016A000224","Persons","249","units","0","v11","6","8484965","","","","0"
"2019-07","Ontario","2016A000235","Persons","249","units","0","v12","7","14566547","","","","0"
"2019-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1369465","","","","0"
"2019-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1174462","","","","0"
"2019-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4371316","","","","0"
"2019-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","5071336","","","","0"
"2019-07","Yukon","2016A000260","Persons","249","units","0","v4","12","40854","","","","0"
"2019-07","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44826","","","","0"
"2019-07","Nunavut","2016A000262","Persons","249","units","0","v7","15","38780","","","","0"
